userId,movieId,rating
7000,123693,3
7000,185301,3
7000,97742,3
7000,148614,3
7000,232143,3
7000,4896,3
7000,167052,3
7000,46034,3
7000,282671,3
7000,187929,4
7000,107501,3
7000,214880,3
7000,162990,5
7000,279902,3
7000,197257,3
7000,197581,3
7000,142797,3
7000,191495,3
7000,198943,3
7000,124603,3
7000,102499,3
7000,119954,3
7000,180353,3
7000,276807,3
7000,117442,3
7000,156392,3
7000,97423,3
7000,226608,3
7000,186521,3
7000,168042,4
7000,279534,3
7000,283589,3
7000,273371,3
7000,168026,2
7000,81898,3
7000,167402,3
7000,162362,3
7000,179815,3
7000,153754,3
7000,52456,5
7000,54785,2
7000,194969,4
7000,210869,1
7000,162872,3
7000,275245,3
7000,27327,3
7000,49957,3
7000,135643,3
7000,194026,3
7000,217835,5
7000,214618,5
7000,32011,5
7000,286487,5
7000,265406,5
7000,161094,3
7000,260709,3
7000,290173,5
7000,203865,5
7000,137214,3
7000,5010,3
7000,152749,3
7000,81090,3
7000,221710,3
7000,179881,3
7000,269664,3
7000,99989,3
7000,96832,1
7000,165873,1
7000,209333,3
7000,223308,4
7000,160175,3
7000,191207,1
7000,209359,3
7000,101258,5
